Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
1604fe2d-f717-4e90-904a-13350e2bed02,,,ALL SURGICAL SPECIMENS LABELLED AND DOCUMENTATION COMPLETE,,,SPECIMENS LABELLED AND DOCUMENTED,,,All surgical specimens are labelled and the required forms are completed according to protocol.,,,Finding,N/A,,,
0f647786-902f-46f9-8281-676b36940ab4,,,SURGICAL EQUIPMENT OR INSTRUMENT PROBLEM IDENTIFIED,,,EQUIPMENT PROBLEM IDENTIFIED,,,An equipment or instrument problem requiring follow-up was identified during surgical sign-out.,,,Finding,N/A,,,
e023ef55-6671-4928-99f0-38ad2d0a7f1c,,,IMMEDIATE POSTOPERATIVE RECOVERY LOCATION CONFIRMED,,,RECOVERY LOCATION CONFIRMED,,,The location for immediate postoperative recovery and subsequent ward care has been confirmed.,,,Finding,N/A,,,
5c084617-910c-440a-afda-49efbd3248d6,,,SURGICAL SIGN-OUT TEAM REVIEW ITEMS,,,SIGN-OUT TEAM REVIEW,,,Items reviewed by the surgeon anaesthesia provider and nurse before any team member leaves the operating room.,,,Question,Coded,b361d651-7f4d-4b52-9fae-0526a78d10ea;1b73920c-5c9e-42f6-81fe-c8b587f40d5a,,
b361d651-7f4d-4b52-9fae-0526a78d10ea,,,KEY CONCERNS FOR POSTOPERATIVE RECOVERY AND MANAGEMENT IDENTIFIED,,,POSTOPERATIVE CONCERNS IDENTIFIED,,,Key concerns for the patient's postoperative recovery and management were identified and reviewed.,,,Finding,N/A,,,
