Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
21b8cf43-9f9f-4d02-9f4a-d710ece54261,,,BILLABLE SERVICES,,,,,,A convenience set for billable services,,,Convset,N/A,,
e8ec4f6b-ed6c-4d5f-8228-7e52b109ca12,,,PROCEDURE SERVICE,,,,,,Procedure service,,,Misc,N/A,,
9218946d-5242-412b-a61e-348461742222,,,SHA INTERVENTION SWITCH,,,,,,Intervention switch,,,SHA Intervention Switch,N/A,,
1d11e8f7-2bd0-44b7-973a-a46a86cde97d,,,MEDICAL SUPPLY SERVICE,,,,,,Medical supply service,,,Misc,N/A,,
