Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
ab0d9436-1096-4fc4-ae3e-777ea50d6688,,,CHEST X-RAY SERVICE AVAILABLE,,,CXR SERVICE AVAILABLE,,,Indicates whether chest X-ray (CXR) services are available at the facility at the time of assessment.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
0a91f50f-b4a8-49db-9707-9dc9f29aa421,,,HEPATITIS B PROPHYLAXIS STARTED,,,HBV PROPHYLAXIS STARTED,,,Part of the encounter form plan. Answers are drugs started at the end of the particular encounter.,,,Question,Coded,a897ee78-1350-11df-a1f1-0026b9348838;a897e52c-1350-11df-a1f1-0026b9348838;a89cc876-1350-11df-a1f1-0026b9348838;a8afcf84-1350-11df-a1f1-0026b9348838,
0a91f50f-b4a8-49db-9707-9dc9f29aa421,,,FOURTH POLYMERASE CHAIN REACTION,,,FOURTH PCR,,,Fourth PCR done at 12 months,,,Misc,N/A,,
88cd24fe-b031-4aad-9d87-1b39ef243b18,,,FLUCONAZOLE PROPHYLAXIS PLAN,,,,,,Question on encounter form. Collects information related to fluconazole prophylaxis drug therapy plans.,,,Question,Coded,a899e0ac-1350-11df-a1f1-0026b9348838;a89b77aa-1350-11df-a1f1-0026b9348838;a89b7908-1350-11df-a1f1-0026b9348838;a89b7d36-1350-11df-a1f1-0026b9348838;,
700b68ab-43eb-486e-b51c-dd6eb8cc2749,,MCL/CIEL:166556;LOINC:46964-3,CEREBROSPINAL FLUID CRYPTOCOCCUS ANTIGEN ASSAY,,,"CRYPTOCOCCAL Ag TEST, CSF",,,A laboratory test performed on cerebrospinal fluid (CSF) to detect the presence of cryptococcal antigen (CrAg),,,Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a89a7ae4-1350-11df-a1f1-0026b9348838,
40a893e8-d30a-4b4c-8f4a-eca3bcdfbd0d,,,BIRTH POLYMERASE CHAIN REACTION TESTING,,,BIRTH TESTING,,,Birth testing is an HIV PCR (DNA or RNA) test performed within the first 0-2 weeks of life (or as soon as possible after birth) for infants born to mothers living with HIV.,,,Misc,N/A,,
91a6d539-4774-4963-a437-3f73959e739e,,,SYPHILIS STAGE,,,,,,Clinical stage of syphilis at the time of diagnosis or assessment.,,,Finding ,Coded,d3b85253-c25b-4c4c-848a-aaec5594f1df;37dfb10a-e479-41a1-b06d-c226ec15df9d;fe2ebdac-920a-433d-aa19-924520b56596;eb4e84ce-3c8e-41a5-94db-de8917bce1bd,
b0addf8e-7eb8-4664-839f-ad62638a05e0,,MCL/CIEL:168288;LOINC:86465-2,"AST TO PLATELETS INDEX RATIO (APRI), BLOOD/SERUM",,,APRI RATIO,,,APRI formula = [AST /AST (ULN)]/platelet count (109/L) x 100,,,Test ,Numeric,,
4d62cace-4faf-4cf8-a156-4fe31bdde5b8,,,TRIAGE EARLY WARNING SCORE,,,TEWS,,,Triage early warning scores,,,Finding ,Numeric,,
