Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
2ed2b5e4-8c3e-4cd8-a82e-5fb5ec8d55b8,,,DISINFECTION OF AREA DONE,,,AREA DECONTAMINATED,,,Indicates whether decontamination or disinfection of the affected area was performed following the procedure or incident,,,Question,Coded,"a899b35c-1350-11df-a1f1-0026b9348838,a899b42e-1350-11df-a1f1-0026b9348838",
bf26d59b-b597-4a4c-8578-2986e0b5d136,,,HEALTH WORKER USED PPE,,,PPE USED,,,Indicates whether the health worker used the appropriate personal protective equipment (PPE) during the procedure or exposure event.,,,Question,Coded,"a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838",
54b79cba-b1a6-4953-9ab5-7584bf5e393e,,,PATIENT ISOLATED,,,,,,Indicates whether the patient was placed in appropriate isolation according to infection prevention and control (IPC) guidelines.,,,Question,Coded,"a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838",
40371129-fae3-4420-a2e6-e264a1f7824f,,,PERSONAL PROTECTIVE EQUIPMENT USED,,,,,,Specifies the personal protective equipment (PPE) used by the health worker during the procedure or exposure event.,,,Question,Coded,8f0de395-ba18-4ad0-aa81-58b4c5dbf98c;2476022a-14fd-4a50-8534-5f48d03a02c0;cb784fb6-fa14-4ee3-8afa-018dc5c68421;32807813-84df-442b-87ba-84e2da627758,
